Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2000,,Longueuil,,Forest->Urban,25.623,,,,,
,2000,,Longueuil,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Longueuil,,Wetland:Forested->Urban [Type],0.324,,,,,
,2000,,Longueuil,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Longueuil,,Wetland:Open->Urban [Type],0.558,,,,,
,2000,,Marguerite-D'Youville,,Agriculture->Urban [Type],44.271,,,,,
,2000,,Marguerite-D'Youville,,Forest->Agriculture,0.567,,,,,
,2000,,Marguerite-D'Youville,,Forest->Urban,8.487,,,,,
,2000,,Marguerite-D'Youville,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Marguerite-D'Youville,,Wetland:Forested->Urban [Type],0.243,,,,,
,2000,,Marguerite-D'Youville,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Marguerite-D'Youville,,Wetland:Open->Urban [Type],0.468,,,,,
,2000,,Pierre-De Saurel,,Agriculture->Urban [Type],20.601,,,,,
,2000,,Pierre-De Saurel,,Forest->Agriculture,2.952,,,,,
,2000,,Pierre-De Saurel,,Forest->Urban,12.177,,,,,
,2000,,Pierre-De Saurel,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Pierre-De Saurel,,Wetland:Forested->Urban [Type],0.144,,,,,
,2000,,Pierre-De Saurel,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Pierre-De Saurel,,Wetland:Open->Urban [Type],0.27,,,,,
,2000,,Roussillon,,Agriculture->Urban [Type],54.297,,,,,
,2000,,Roussillon,,Forest->Agriculture,0.909,,,,,
,2000,,Roussillon,,Forest->Urban,26.865,,,,,
,2000,,Roussillon,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Roussillon,,Wetland:Forested->Urban [Type],1.665,,,,,
,2000,,Roussillon,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Roussillon,,Wetland:Open->Urban [Type],2.079,,,,,
,2000,,Rouville,,Agriculture->Urban [Type],27.702,,,,,
,2000,,Rouville,,Forest->Agriculture,2.979,,,,,
,2000,,Rouville,,Forest->Urban,2.061,,,,,
,2000,,Rouville,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Rouville,,Wetland:Forested->Urban [Type],0.018,,,,,
,2000,,Rouville,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Rouville,,Wetland:Open->Urban [Type],0.072,,,,,
,2000,,Vaudreuil-Soulanges,,Agriculture->Urban [Type],115.605,,,,,
,2000,,Vaudreuil-Soulanges,,Forest->Agriculture,2.214,,,,,
,2000,,Vaudreuil-Soulanges,,Forest->Urban,129.888,,,,,
,2000,,Vaudreuil-Soulanges,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Vaudreuil-Soulanges,,Wetland:Forested->Urban [Type],1.782,,,,,
,2000,,Vaudreuil-Soulanges,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Vaudreuil-Soulanges,,Wetland:Open->Urban [Type],3.231,,,,,
