Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,TransitionGroupID,TransitionMultiplierTypeID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Coniferous Medium [Type],,0.0191,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Coniferous Young [Type],,0.0031,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Deciduous Medium [Type],,0.0001,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Deciduous Old [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Deciduous Young [Type],,0.0001,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Mixed Medium [Type],,0.0204,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Mixed Old [Type],,0.0004,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Old->Forest:Mixed Young [Type],,0.0127,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Young->Forest:Coniferous Medium [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Young->Forest:Coniferous Old [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Young->Forest:Deciduous Medium [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Young->Forest:Deciduous Old [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Young->Forest:Deciduous Young [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Young->Forest:Mixed Medium [Type],,0,,,,,
,2010,,,19,,,,,,,Forest:Coniferous Young->Forest:Mixed Old [Type],,0,,,,,
